name,series,character,release,price,size,sculptor,painter,material,brand,url,blog_url
"ライザ（ライザリン・シュタウト）","ライザのアトリエ ～常闇の女王と秘密の隠れ家～","Atelier Ryza: Ever Darkness & the Secret Hideout Reisalin Stout","2023年9月発売 ","23,980円（税抜21,800円） ","1/7 スケール 全高：約240mm","みさいる","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/524/,"/blog_alter/2022/249/,"
"シュヴァルツ　昇進２Ver.","アークナイツ","ARKNIGHTS Schwarz","2023年9月発売 ","45,980円（税抜41,800円） ","1/7 スケール 全高：約400mm（武器／台座含む）","飛田 崇文【シュヴァルツ】 ウサギ【武器】","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/523/,"/blog_alter/2022/242/,"
"吾妻　語らいの春霞Ver.","アズールレーン","AZUR LANE IJN Azuma","2023年8月発売 ","31,680円（税抜28,800円） ","1/7 スケール 全高：約180mm（棚含む）","槙尾 宗利","星名 詠美","PVC&ABS製塗装済完成品棚は鏡へ差し替え可能衣装は２種再現可能",Alter,https://alter-web.jp/products/526/,"/blog_alter/2022/241/,"
"吾妻　語らいの春霞 軽装Ver.","アズールレーン","AZUR LANE IJN Azuma","2023年8月発売 ","25,080円（税抜22,800円） ","1/7 スケール 全高：約170mm","槙尾 宗利","星名 詠美","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/525/,"/blog_alter/2022/241/,"
"芹沢 あさひ　空と青とアイツVer.","アイドルマスター シャイニーカラーズ","THE IDOLM@STER SHINY COLORS Serizawa Asahi","2023年7月発売 ","36,080円（税抜32,800円） ","1/7 スケール 全高：約280mm（台座含む）","爪塚 ヒロユキ","爪塚 ヒロユキ","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/520/,"/blog_alter/2022/233/,"
"ルプスレギナ・ベータ　so-bin Ver.","オーバーロード","OVERLORD Lupusregina β","2023年7月発売 ","25,080円（税抜22,800円） ","1/8 スケール 全高：約280mm（武器／台座含む）","たなか☆せんう","渡邊 恭大","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/514/,"/blog_alter/2022/234/,"
"速水 奏　ミスティック・ドーンVer.","アイドルマスター シンデレラガールズ","THE IDOLM@STER CINDERELLA GIRLS Hayami Kanade","2023年6月発売  2020年6月発売 ","21,780円（税抜19,800円） ","1/7 スケール 全高：約240mm","無銘","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/253/,"/blog_alter/2022/246/,/blog_alter/2019/146/,"
"セントルイス","アズールレーン","AZUR LANE USS St.Louis","2023年6月発売  2022年3月発売 ","30,580円（税抜27,800円） ","1/7 スケール 全高：約260mm","ヤドカリ／原型協力：アルター【セントルイス】 ウサギ【艤装】","鉄森 七方【セントルイス】 みうら おさみ【艤装】","PVC&ABS製塗装済完成品艤装は取り外し可能",Alter,https://alter-web.jp/products/479/,"/blog_alter/2022/243/,/blog_alter/2020/173/,"
"セントルイス　軽装Ver.","アズールレーン","AZUR LANE USS St.Louis","2023年6月発売  2022年3月発売 ","16,280円（税抜14,800円） ","1/7 スケール 全高：約260mm","ヤドカリ 原型協力：アルター","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/478/,"/blog_alter/2022/243/,/blog_alter/2020/173/,"
"プリンツ・オイゲン","アズールレーン","AZUR LANE KMS Prinz Eugen","2023年5月発売  2022年1月発売 ","44,880円（税抜40,800円） ","1/7 スケール 全長：約270mm（艤装含む）","田中 冬志  原型協力：アルター","渡邊 恭大【プリンツ・オイゲン】  山本 洋平＋みうら おさみ【艤装】","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/264/,"/blog_alter/2022/245/,/blog_alter/2020/165/,"
