figure_id,character
465,キング・カズマ
466,LoveLive! Nijigasaki High School Idol Club Konoe Kanata
467,TSUKIHIME-A piece of blue glass moon- Arcueid Brunestud
468,氷堂美智留 ～ランジェリーver.～
469,ララ・サタリン・デビルーク　水着Ver.
470,波島出海 ～ランジェリーver.～
471,モモ・ベリア・デビルーク　-ベビードール Ver.-
472,霞ヶ丘詩羽 ～ランジェリーver.～
473,澤村・スペンサー・英梨々　～ランジェリーver.～
474,加藤恵 ～ランジェリーver.～
475,桜内 梨子　Special 7ver.
476,柳生十兵衛　ファイナルブライドVer.
477,ララ・サタリン・デビルーク　-パステルコーデ Ver.-
478,シャルル・ド・ダルタニアン
479,上杉景勝
480,あんこ 
480,デラ
481,後藤又兵衛
482,真田幸村　Version 2.0
483,セイバーオルタ　メイドVer.
484,服部半蔵　HJ限定版
485,真田幸村
486,天城 雪子
487,Xenosaga Ⅲ　KOS-MOS Ver.4
488,POP WONDERLAND 『赤ずきん』
489,POP WONDERLAND 『ふしぎの国のアリス』
490,Xenosaga Ⅲ　T-elos
491,一橋 ゆりえ　制服Ver.
492,梓川 月乃　水着Ver.
493,梓川 月乃　パンタジア制服Ver.
494,草薙 素子
