figure_id,measurement
460,全高：約170mm（台座含む）
461,全高：約220mm
462,全高：【フレン】約220mm（台座含む）
462,【ミニフィギュア】約60mm
463,全高：【ユーリ】約215mm（台座含む）
463,【ミニフィギュア】約55mm
464,全高：約195mm（台座含む）
465,全高：【池沢佳主馬】約90mm
465,【キング・カズマ】約220mm
466,全高：約240mm
467,全高：約295mm（台座含む）
468,全高：約180mm（台座含む）
469,全高：約265mm
470,全高：約240mm（台座含む）
471,全高：約240mm
472,全高：約130mm（台座含む）
473,全高：約130mm（台座含む）
474,全高：約140mm（台座含む）
475,全高：約240mm
476,全高：約270mm
477,全高：約265mm
478,全高：約230mm
479,全高：約340mm（弓含む）
480,全高：約90mm
481,全高：約300mm（武器含む）
482,全高：約210mm
483,全高：【セイバーオルタ】約260mm
483,【ミニセイバー】約60mm
484,頭頂高：約220mm（台座／武器含まず）
485,全高：約210mm
486,全高：約195mm
487,全高：約210mm
488,全高：約195mm
489,全高：約180mm
490,全高：約210mm
491,全高：約190mm
492,全高：約140mm
493,全高：約200mm
494,全高：約210mm
