name,material
趙雲 子龍,PVC
関羽 雲長,PVC
高町なのは　エクシードモード,PVC
久慈川 りせ　水着Ver.,PVC
カーヤ,PVC
シルファ,PVC
ファティナ,PVC
ブラックアリエス,PVC
ヴィータ,PVC
スバル・ナカジマ,PVC
謎の賞金稼ぎ ヨーコ・リットナー,PVC
蒼崎 橙子,PVC
川添 珠姫,PVC
メタトロン,PVC
南極 さくら　メイド服Ver.,PVC
ルイズ　制服Ver.,PVC
戦姫,PVC
長門 有希　制服Ver.,PVC
リインフォースII,PVC
ヨマコ先生,PVC
シグナム,PVC
ティアナ・ランスター,PVC
セイバー　メイドVer.,PVC
聖天使ジブリール・ゼロ,PVC
時雨 亜沙,PVC
八神はやて,PVC
涼宮 ハルヒ　制服Ver.,PVC
エリザベス,PVC
綾波 レイ,PVC
彩,PVC
ユニゾンヴィータ,PVC
リリィ・サルバターナ,PVC
鷹守 ハルカ,PVC
チューア・チュラム,PVC
月城 ミーナ,PVC
朝比奈 みくる　メイドVer.,PVC
ファウナ,PVC
シエスタ,PVC
桐条 美鶴,PVC
ヨルズ,PVC
閻魔 あい,PVC
フェイト・テスタロッサ,PVC
シャロン,PVC
黒のフランコ,PVC
長門 有希　水着Ver.,PVC
アロエ & CPUシャロン,PVC
エグゼリカ,PVC
ルイズ　ビスチェVer.,PVC
ナディ,PVC
エスカレイヤー,PVC
デス先生,PVC
名前のない女,PVC
鶴屋さん　メイドVer.,PVC
アイギス,PVC
レウコテア,PVC
カミナギ・リョーコ,PVC
真紅,PVC
アルクェイド・ブリュンスタッド,PVC
天羽 雅音　ウィッチブレイド発動態パワーアップVer.,PVC
荻上 千佳　コスプレVer.,PVC
アル・アジフ　水着Ver.,PVC
ルキア,PVC
花本 はぐみ,PVC
有坂 香月　競泳Ver.,PVC
風のうしろを歩むもの,PVC
周防 美琴　水着Ver.,PVC
レヴィ,PVC
ライダー　水着Ver.,PVC
天羽 雅音　私服Ver.,PVC
斎香・Ｓ・ファルネーゼ,PVC
聖天使ジブリール,PVC
ルイズ,PVC
沢近 愛理　水着Ver.,PVC
津崎 青葉 & モリビト2号,PVC
橘 玲,PVC
イリヤ　水着Ver.,PVC
ナギ　死神装束Ver.,PVC
間桐 桜　戦闘服Ver.,PVC
カレン・オルテンシア,PVC
イグニス,PVC
セイバー　水着Ver.,PVC
十条 紫苑,PVC
Xenosaga　KOS-MOS,PVC
アルヴィス・Ｅ・ハミルトン,PVC
竜胆 リナ,PVC
葉月　ドレスVer.,PVC
厳島 貴子,PVC
ジョウ,PVC
エイミー,PVC
メグ,PVC
ヒカル　死神装束Ver.,PVC
黒セイバー　ドレスVer.,PVC
宮小路 瑞穂,PVC
セイ,PVC
高町なのは,PVC
間桐 桜　水着Ver.,PVC
聖天使ジブリール アリエス,PVC
ガーネット,PVC
セイバー　私服Ver.,PVC
なぎさ,PVC
惣流・アスカ・ラングレー,PVC
遠坂 凛　水着Ver.,PVC
ベッキー & メソウサ,PVC
木ノ下 貴子　水着Ver.,PVC
水樹 マイア,PVC
綾波 レイ,PVC
パーシヴァル,PVC
パーシヴァル,ABS
アーチャー／ギルガメッシュ,PVC
アーチャー／ギルガメッシュ,ABS
冨岡 義勇,PVC
冨岡 義勇,ABS
キリト,PVC
キリト,ABS
セイバー／ガウェイン,PVC
セイバー／ガウェイン,ABS
キャスター／マーリン,PVC
セイバー／アーサー・ペンドラゴン［プロトタイプ］,PVC
天ヶ瀬 冬馬,PVC
テイルズ オブ ヴェスペリア　ユーリ・ローウェル　心の中の聖騎士様Ver.＆ラピード,PVC
アヴェンジャー／巌窟王 エドモン・ダンテス,PVC
テイルズ オブ ベルセリア　アイゼン,PVC
ディーオ・エラクレア,PVC
テイルズ オブ ゼスティリア ザ クロス　スレイ,PVC
テイルズ オブ ゼスティリア ザ クロス　ミクリオ,PVC
葉月 渚,PVC
竜ヶ崎 怜,PVC
アーチャー,PVC
山崎 宗介,PVC
カミュ,PVC
朔間 零,PVC
美風 藍,PVC
七瀬 遙＆橘 真琴,PVC
黒崎 蘭丸,PVC
愛島 セシル,PVC
寿 嶺二,PVC
朔間 凛月,PVC
レオナルド・ウォッチ　Ending Ver.,PVC
テイルズ オブ エクシリア2　ユリウス・ウィル・クルスニク,PVC
テイルズ オブ エクシリア2　ルドガー・ウィル・クルスニク,PVC
